Date,Open,High,Low,Close,Adj Close,Volume
7/16/2008,24.314285,24.704287,24.085714,24.687143,16.647926,186947600
7/17/2008,24.871429,24.997143,24.484285,24.544285,16.551584,189381500
7/18/2008,24.074286,24.235714,23.571428,23.592857,15.90999,217103600
7/21/2008,23.842857,23.928572,23.017143,23.755714,16.019814,340117400
7/22/2008,21.285715,23.251429,20.932858,23.145714,15.608453,469898100
7/23/2008,23.57,24.052856,23.08,23.751429,16.016922,265442100
7/24/2008,23.474285,23.608572,22.635714,22.718571,15.320406,209904800
7/25/2008,22.914286,23.285715,22.664286,23.16,15.61809,158409300
7/28/2008,23.191429,23.209999,22.002857,22.057142,14.874369,195178200
7/29/2008,22.201429,22.778572,21.950001,22.440001,15.132555,171017700
7/30/2008,22.540001,22.927143,22.297142,22.84,15.402294,181295800
7/31/2008,22.505714,23.171429,22.425714,22.707144,15.3127,159374600
8/1/2008,22.842857,22.855715,22.25,22.379999,15.09209,136159800
8/4/2008,22.371429,22.557142,21.844286,21.889999,14.761657,148131900
8/5/2008,22.202858,22.971428,22.117144,22.948572,15.475509,172092900
8/6/2008,22.852858,23.914286,22.571428,23.455715,15.817508,197852200
8/7/2008,23.244286,23.735714,23.071428,23.367144,15.757778,168093100
8/8/2008,23.408571,24.235714,23.392857,24.221428,16.33387,178499300
8/11/2008,24.295713,25.214285,24.238571,24.794285,16.720179,222826100
8/12/2008,24.788572,25.612858,24.787144,25.247143,17.025566,209069700
8/13/2008,25.425714,25.714285,25.128571,25.614286,17.273151,210586600
8/14/2008,25.475714,25.778572,25.405714,25.617144,17.27508,177825200
8/15/2008,25.577143,25.678572,25.007143,25.105715,16.930193,177062900
8/18/2008,25.081429,25.401428,24.831429,25.055714,16.896473,138003600
8/19/2008,24.934286,25.295713,24.544285,24.790001,16.717289,154051100
8/20/2008,24.967142,25.277143,24.801428,25.120001,16.939831,126737800
8/21/2008,24.924286,25.064285,24.555714,24.898571,16.790508,134936200
8/22/2008,25.117144,25.357143,25.081429,25.255714,17.031343,109902800
8/25/2008,25.164286,25.175714,24.522858,24.65,16.622875,121106300
8/26/2008,24.68,24.982857,24.658571,24.805714,16.727882,111387500
8/27/2008,24.758572,25.108572,24.598572,24.952858,16.827114,119445200
8/28/2008,25.040001,25.178572,24.678572,24.82,16.737513,107846200
8/29/2008,24.70857,24.785715,24.148571,24.218571,16.331944,149822400
9/2/2008,24.628571,24.785715,23.571428,23.741428,16.01018,195190800
9/3/2008,23.834286,24.097143,23.428572,23.851429,16.084356,183708700
9/4/2008,23.694286,23.987143,22.972857,23.031429,15.531384,185846500
9/5/2008,22.655714,23.200001,22.521429,22.882856,15.431193,196721000
9/8/2008,23.51,23.555714,21.637142,22.559999,15.213473,261494800
9/9/2008,22.408571,22.851429,21.398571,21.668571,14.612336,311256400
9/10/2008,21.76,22.141428,21.257143,21.658571,14.605593,243285700
9/11/2008,21.168571,21.855715,20.857143,21.807142,14.705781,242783800
9/12/2008,21.558571,21.558571,20.928572,21.277143,14.348372,198256800
9/15/2008,20.290001,21.098572,20.051428,20.051428,13.521804,230158600
9/16/2008,19.122858,20.357143,18.878571,19.982857,13.475561,299959100
9/17/2008,19.784286,19.787144,18.261429,18.261429,12.314708,300113800
9/18/2008,18.652857,19.347143,17.24,19.155714,12.917774,419063400
9/19/2008,20.371429,20.6,19.472857,20.129999,13.574788,357718900
9/22/2008,19.991428,20.035715,18.665714,18.721428,12.624909,214178300
9/23/2008,18.835714,19.4,18.094286,18.120001,12.219337,320091100
9/24/2008,18.181429,18.707144,17.878571,18.387142,12.399479,261753800
9/25/2008,18.542856,19.255714,18.360001,18.847143,12.709687,251511400
9/26/2008,17.844286,18.542856,17.571428,18.32,12.354203,281612800
9/29/2008,17.088572,17.097143,14.37,15.037143,10.140388,655514300
9/30/2008,15.464286,16.428572,15.185715,16.237143,10.949617,406670600
10/1/2008,15.988571,16.051428,15.341429,15.588572,10.512247,324121000
10/2/2008,15.43,15.541429,14.285714,14.3,9.643293,402341100
10/3/2008,14.857142,15.214286,13.521428,13.867143,9.351393,573599600
10/6/2008,13.137143,14.111428,12.505714,14.02,9.454474,526854300
10/7/2008,14.354285,14.5,12.707143,12.737143,8.58937,469693000
10/8/2008,12.272857,13.761429,12.24,12.827143,8.650062,551935300
10/9/2008,13.335714,13.685715,12.371428,12.677143,8.548908,404345900
10/10/2008,12.242857,14.285714,12.142858,13.828571,9.325381,554824900
10/13/2008,14.935715,15.79,14.431429,15.751429,10.622074,384769000
10/14/2008,16.608572,16.628571,14.734285,14.868571,10.026713,495248600
10/15/2008,14.834286,15.285714,13.984285,13.992857,9.43617,396043900
10/16/2008,14.252857,14.775714,13.105714,14.555715,9.815736,495130300
10/17/2008,14.228572,14.577143,12.27,13.914286,9.383184,440556900
10/20/2008,14.254286,14.29,13.377143,14.062857,9.483375,387292500
10/21/2008,13.85,13.985714,13.022857,13.07,8.813834,548415000
10/22/2008,13.91,14.464286,13.275714,13.838572,9.332125,562202200
10/23/2008,13.787143,14.178572,13.128572,14.032857,9.463143,418857600
10/24/2008,12.904285,13.985714,12.872857,13.768572,9.284923,397514600
10/27/2008,13.581429,13.947143,13.122857,13.155714,8.871635,302192800
10/28/2008,13.632857,14.357142,13.195714,14.272857,9.624989,408533300
10/29/2008,14.408571,15.648571,14.277143,14.935715,10.071992,487744600
10/30/2008,15.461429,16.027143,15.372857,15.862857,10.697215,409522400
10/31/2008,15.342857,15.825714,15.02,15.37,10.364853,414939000
11/3/2008,15.132857,15.585714,14.98,15.28,10.304162,264484500
11/4/2008,15.712857,15.97,15.238571,15.855714,10.6924,349670300
11/5/2008,15.558572,15.674286,14.712857,14.757143,9.951568,314113800
11/6/2008,14.435715,14.682858,14,14.157143,9.546955,329768600
11/7/2008,14.177143,14.264286,13.674286,14.034286,9.464107,273813400
11/10/2008,14.31,14.342857,13.5,13.697143,9.236753,280955500
11/11/2008,13.544286,13.881429,13.18,13.538571,9.129819,306134500
11/12/2008,13.204286,13.32,12.858571,12.874286,8.681856,294744100
11/13/2008,12.838572,13.777143,12.288571,13.777143,9.2907,463521800
11/14/2008,13.394286,13.427143,12.857142,12.891429,8.693415,351316700
11/17/2008,12.64,12.935715,12.465714,12.591429,8.491108,290631600
11/18/2008,12.805715,12.998571,12.408571,12.844286,8.661623,302423800
11/19/2008,12.777143,13.082857,12.315714,12.327143,8.312883,292975200
11/20/2008,12.177143,12.35,11.428572,11.498571,7.754131,429203600
11/21/2008,11.704286,12.017143,11.305715,11.797143,7.955478,392317800
